iter	Logloss
0	0.6776725922
1	0.6634799805
2	0.6513507919
3	0.6406717987
4	0.631627594
5	0.6225465622
6	0.6145496368
7	0.6076544724
8	0.6014116669
9	0.5968939514
10	0.5921223831
11	0.5879514999
12	0.5838398743
13	0.5801610947
14	0.5771183929
15	0.5744882355
16	0.5717643585
17	0.5694230576
18	0.5670040665
19	0.5651519241
20	0.5630712662
21	0.5613505402
22	0.5599003296
23	0.5585341721
24	0.5571337891
25	0.5561072769
26	0.5548025818
27	0.5533159103
28	0.5520262604
29	0.5509857407
30	0.5498573761
31	0.5490151367
32	0.5480164032
33	0.5471582336
34	0.5461924744
35	0.5451942062
36	0.5444060287
37	0.5436381912
38	0.5427907715
39	0.5421849213
40	0.5416932144
41	0.5409274673
42	0.5403808212
43	0.539969574
44	0.5393459625
45	0.538848999
46	0.5383256378
47	0.5380097122
48	0.5375411072
49	0.5367992477
50	0.5363225708
51	0.5355805588
52	0.535277977
53	0.5346389999
54	0.5340676346
55	0.5333982086
56	0.5330195541
57	0.5324330444
58	0.5319477081
59	0.5316186829
60	0.5309702988
61	0.5304035568
62	0.5297513199
63	0.5293355484
64	0.5289604797
65	0.5282356033
66	0.5279163818
67	0.5276439285
68	0.5273519745
69	0.5268725662
70	0.5264484177
71	0.5262121887
72	0.5258090744
73	0.5253793945
74	0.5250118332
75	0.5246423798
76	0.5244706497
77	0.5242009125
78	0.5239312744
79	0.5236162338
80	0.5233902588
81	0.5231265945
82	0.5227290268
83	0.5224741135
84	0.5222041397
85	0.5219708252
86	0.5217618103
87	0.5213163452
88	0.520983284
89	0.5206824417
90	0.5205255814
91	0.5204150772
92	0.5202889557
93	0.5198314514
94	0.5195514526
95	0.5193911514
96	0.5191995773
97	0.5188949966
98	0.5185911407
99	0.5183482666
100	0.5181689835
101	0.5180165253
102	0.5177176514
103	0.5173963623
104	0.5171060333
105	0.5168470612
106	0.5165655594
107	0.5163203964
108	0.5159980354
109	0.5158042831
110	0.5155190964
111	0.5152689552
112	0.5150528831
113	0.5148770943
114	0.5146834412
115	0.5144630394
116	0.5143771019
117	0.5142433319
118	0.5138996964
119	0.5137493134
120	0.5135966835
121	0.5135004234
122	0.5132354965
123	0.5130682487
124	0.5129116707
125	0.5127016716
126	0.5124953613
127	0.5123045311
128	0.5121631241
129	0.5120501137
130	0.5119285545
131	0.5118304405
132	0.5116586761
133	0.5114042244
134	0.5112606659
135	0.5110772591
136	0.5109682884
137	0.5107755127
138	0.5105512238
139	0.5103204651
140	0.510195507
141	0.5101248589
142	0.5100697212
143	0.5097343102
144	0.5095438538
145	0.5093699989
146	0.5092333183
147	0.5090345154
148	0.5088285255
149	0.5086557846
150	0.5085270958
151	0.5083390846
152	0.5081647034
153	0.5080789299
154	0.5079924126
155	0.5078342781
156	0.5076951637
157	0.5075818977
158	0.5074402924
159	0.5071481285
160	0.5069507103
161	0.5067122421
162	0.5066438141
163	0.5063969612
164	0.5062531815
165	0.5060938454
166	0.5059407425
167	0.5058134193
168	0.5056451569
169	0.5054214706
170	0.5053402672
171	0.5052602234
172	0.5050834503
173	0.5049710083
174	0.5047761841
175	0.5046882668
176	0.5044765854
177	0.5042831001
178	0.5041533394
179	0.5039474525
180	0.5038005943
181	0.5036036491
182	0.5033928566
183	0.5031286316
184	0.5029831772
185	0.5028816223
186	0.502799305
187	0.5025970116
188	0.5024780769
189	0.5022423439
190	0.5020653915
191	0.5019674034
192	0.501695549
193	0.5015583878
194	0.5013394775
195	0.5011660919
196	0.5010219269
197	0.5008423309
198	0.5006791611
199	0.5005560989
200	0.5003980484
201	0.5002218781
202	0.5000946579
203	0.499972702
204	0.4998851089
205	0.4997783012
206	0.4995426865
207	0.499373539
208	0.4992581139
209	0.499104599
210	0.4989730263
211	0.4988656387
212	0.4986914482
213	0.4984477005
214	0.4982939186
215	0.4981763
216	0.4979288979
217	0.4977630692
218	0.4975427895
219	0.4973377914
220	0.4971252441
221	0.4969316025
222	0.4968318939
223	0.49671492
224	0.4965821342
225	0.4964562492
226	0.4962792244
227	0.4960543289
228	0.4959178352
229	0.4958018837
230	0.495679512
231	0.4955105896
232	0.495424057
233	0.4952321205
234	0.495131588
235	0.4949913063
236	0.4948343544
237	0.4947433014
238	0.4945784149
239	0.4943915977
240	0.49426017
241	0.4940838661
