iter	Passed	Remaining
0	12	12934
1	24	12345
2	36	12053
3	48	12068
4	56	11341
5	68	11338
6	79	11291
7	87	10891
8	98	10883
9	108	10716
10	118	10611
11	128	10574
12	136	10352
13	149	10518
14	160	10553
15	169	10403
16	180	10433
17	188	10299
18	199	10288
19	209	10268
20	218	10203
21	230	10228
22	238	10126
23	248	10095
24	256	9986
25	267	10027
26	278	10044
27	286	9955
28	300	10048
29	309	10015
30	325	10165
31	340	10297
32	351	10306
33	364	10345
34	377	10402
35	387	10378
36	400	10418
37	412	10446
38	419	10344
39	433	10410
40	446	10449
41	455	10385
42	468	10430
43	482	10488
44	495	10524
45	507	10531
46	516	10474
47	528	10490
48	543	10544
49	556	10575
50	566	10542
51	578	10539
52	587	10493
53	596	10457
54	609	10468
55	627	10576
56	642	10629
57	654	10622
58	664	10601
59	677	10613
60	688	10594
61	696	10530
62	707	10525
63	716	10482
64	728	10481
65	741	10488
66	750	10450
67	761	10432
68	769	10379
69	778	10337
70	790	10337
71	799	10306
72	811	10304
73	822	10293
74	831	10249
75	841	10233
76	850	10197
77	860	10171
78	873	10177
79	881	10137
80	894	10145
81	908	10172
82	918	10143
83	931	10159
84	944	10164
85	958	10190
86	973	10212
87	984	10207
88	994	10179
89	1008	10192
90	1017	10160
91	1025	10123
92	1039	10141
93	1049	10113
94	1062	10120
95	1073	10113
96	1082	10077
97	1093	10062
98	1109	10100
99	1122	10098
100	1136	10112
101	1144	10076
102	1158	10088
103	1170	10081
104	1180	10063
105	1191	10045
106	1204	10050
107	1218	10062
108	1230	10055
109	1241	10042
110	1253	10038
111	1262	10011
112	1274	10006
113	1286	9999
114	1298	9989
115	1309	9979
116	1321	9971
117	1335	9980
118	1352	10012
119	1366	10019
120	1374	9988
121	1386	9980
122	1400	9989
123	1420	10033
124	1435	10051
125	1450	10058
126	1461	10045
127	1472	10031
128	1483	10015
129	1492	9985
130	1505	9987
131	1519	9990
132	1538	10027
133	1553	10041
134	1571	10071
135	1596	10145
136	1612	10159
137	1627	10165
138	1638	10152
139	1654	10160
140	1670	10176
141	1681	10162
142	1690	10132
143	1702	10120
144	1713	10106
145	1723	10082
146	1736	10073
147	1749	10072
148	1762	10068
149	1777	10070
150	1787	10049
151	1798	10034
152	1812	10031
153	1820	9998
154	1830	9980
155	1839	9950
156	1849	9932
157	1860	9912
158	1867	9878
159	1878	9861
160	1885	9827
161	1895	9805
162	1904	9777
163	1913	9752
164	1921	9723
165	1932	9710
166	1944	9698
167	1954	9679
168	1963	9656
169	1974	9638
170	1982	9612
171	1993	9596
172	2002	9573
173	2013	9559
174	2029	9568
175	2048	9591
176	2067	9611
177	2081	9610
178	2091	9593
179	2102	9576
180	2111	9554
181	2127	9560
182	2136	9537
183	2144	9512
184	2155	9497
185	2165	9478
186	2178	9469
187	2190	9459
188	2198	9435
189	2209	9418
190	2218	9395
191	2227	9373
192	2235	9346
193	2245	9327
194	2255	9310
195	2262	9282
196	2275	9273
197	2287	9267
198	2296	9242
199	2307	9229
200	2315	9205
201	2327	9195
202	2341	9191
203	2350	9172
204	2375	9211
205	2390	9214
206	2405	9214
207	2425	9234
208	2441	9240
209	2456	9240
210	2469	9235
211	2480	9218
212	2504	9252
213	2516	9243
214	2529	9235
215	2541	9224
216	2556	9225
217	2565	9201
218	2576	9190
219	2589	9179
220	2602	9173
221	2613	9160
222	2625	9148
223	2636	9133
224	2645	9111
225	2657	9099
226	2668	9087
227	2678	9069
228	2704	9106
229	2718	9101
230	2727	9080
231	2741	9074
232	2751	9055
233	2759	9033
234	2769	9015
235	2778	8994
236	2789	8981
237	2800	8965
238	2808	8943
239	2819	8928
240	2827	8905
241	2840	8897
242	2852	8885
243	2863	8873
244	2874	8856
245	2888	8853
246	2900	8841
247	2910	8825
248	2923	8816
249	2932	8797
250	2942	8779
251	2952	8764
252	2962	8748
253	2971	8726
